id;client_id;large;large_height;large_width;medium;medium_height;medium_width;small;small_height;small_width;jhi_raw;cropx;cropy;crop_height;crop_width;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;lest;situation and;13215;17713;kissingly superb cleverly;8071;25681;fooey yet;3858;26108;yuck cheerfully gadzooks;6980;5823;20896.61;31182.36;puzzling;2023-12-27T04:23:51;2023-12-27T07:37:21;pro;ah fratricide
2;ah tapioca after;closely;10751;27264;a modulo;5404;31329;periodic;14040;6467;insist;15763;30130;11168.27;5369.43;yowza supposing;2023-12-26T19:06:55;2023-12-26T21:45:44;subset across;behind
3;until joyously and;scowl geez;16365;29961;firsthand murmuring;24136;7969;adjective;7695;2422;specification;20567;24107;8546.73;5509.97;unsung;2023-12-27T12:26:11;2023-12-26T15:59:19;so thoughtful cage;gut cautious
4;before doubtfully;vivaciously furthermore gee;4889;30435;frosty;1991;6159;stiffen;5759;22556;favor amongst;22201;32270;14876.4;28508.95;enormously yet towards;2023-12-27T05:49:44;2023-12-27T14:03:36;batch after pancreas;account now
5;daintily worth vice;superior under violently;2784;11128;legislature yet er;11381;21778;aw;16554;20372;bleat concerning bathtub;2203;16824;4549.35;7087.48;yippee forenenst pony;2023-12-27T09:59:47;2023-12-27T02:23:02;unlawful;precious
6;secondary yuck songbird;hmph infatuated at;3784;28936;windy;29424;30925;mister;20355;14267;inasmuch sore questioningly;9673;20397;10644;30954.82;storage politely;2023-12-27T10:30:34;2023-12-27T03:41:31;more;victorious oh pool
7;wolf;boo of;19754;957;noxious hoarse accidentally;32258;15027;geez boohoo diffract;8333;19976;behind;19417;7433;13288.39;26311.54;rostrum cleverly;2023-12-26T18:09:59;2023-12-26T19:14:57;whether;ew
8;gape;equally;16261;5403;derrick yet gleeful;1289;7523;lunchroom ack underneath;14341;14804;greed apropos whip;8793;18462;6053.47;17700.7;effective;2023-12-26T21:36:27;2023-12-26T15:18:35;establish indeed hastily;mechanically afore arrogantly
9;woot below journalism;hardware;9481;25136;certainly;25384;18038;loftily petal;15295;9118;gas cluck;31321;7181;26225.68;11411.53;assured toward;2023-12-27T03:23:01;2023-12-26T15:32:24;plus;barring
10;exotic famously;lest heavily;17434;29886;wrongly;14698;18555;lifetime unfolded;17112;21550;humidity;11521;7562;9662.76;15978.53;following detach next;2023-12-26T16:25:01;2023-12-27T04:02:53;fold;mmm
