id;tag;tag_display;jhi_group;group_display;color;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;athwart however;dark badly;diligently forenenst blah;mushy;lime;phew nor;2023-12-27T07:11:49;2023-12-27T04:25:18;cleverly whose;likewise finally following
2;phooey;gah;ick before proper;supposing yuck leap;purple;ugh since though;2023-12-27T10:45:35;2023-12-27T10:51:32;austere um feign;questionnaire
3;yum upright;yet;hopeful;near plus;azure;art;2023-12-26T20:21:12;2023-12-27T03:18:27;expostulate;if
4;where unless closely;waiver which;palliate;plantation monopolize astride;yellow;intently;2023-12-26T23:52:29;2023-12-26T14:43:41;limply grandmother;mmm phooey square
5;female;backdrop pet;uh-huh;how vastly neglect;turquoise;raspberry;2023-12-26T16:41:42;2023-12-26T23:42:34;above underneath;guarantee bungle oh
6;seaplane perspire about;tasty bat;er searchingly;hmph bah whether;red;quaintly scholarly;2023-12-27T08:52:48;2023-12-27T02:42:53;suddenly;provided
7;unless;steel in fishmonger;taut ferociously;since reorder huzzah;pink;needy card tankful;2023-12-27T04:27:40;2023-12-27T08:29:17;when recess;finally
8;wee underscore;yuck darling phew;psst;whether personal immortal;teal;rarely urgently chassis;2023-12-27T03:13:14;2023-12-27T04:37:43;negative as off;invitation ruddy since
9;boastfully botch;cheetah;brr screamer;unlike;orchid;the aw;2023-12-27T07:16:56;2023-12-26T16:53:58;fooey;unto
10;vanquish;actress after;separately;hm than wherever;salmon;gigantic if voluntarily;2023-12-27T09:12:57;2023-12-26T20:10:09;equally;yesterday ick next
