id;start_date;end_date;language
1;2023-12-27T09:52:20;2023-12-26T21:04:00;SPANISH
2;2023-12-26T15:51:33;2023-12-26T22:58:12;SPANISH
3;2023-12-27T09:16:32;2023-12-27T12:22:42;FRENCH
4;2023-12-27T05:04:58;2023-12-27T11:44:33;SPANISH
5;2023-12-27T00:23:47;2023-12-26T16:03:44;FRENCH
6;2023-12-27T01:29:07;2023-12-27T06:13:46;SPANISH
7;2023-12-27T02:11:19;2023-12-27T11:54:36;ENGLISH
8;2023-12-26T23:41:47;2023-12-27T00:25:57;SPANISH
9;2023-12-26T17:20:59;2023-12-26T16:16:21;FRENCH
10;2023-12-27T11:43:48;2023-12-26T17:33:15;FRENCH
