id;street_address;postal_code;city;state_province
1;nor;foam ouch silky;Boyerton;temperature whoa minus
2;gaiters;walnut far-flung kingfish;Nyafort;potentially linear split
3;restfully hydroxyl assess;lope loyally;Elmhurst;however whoa
4;zowie impolite;uh-huh upward;Howardboro;indeed perfect walk
5;reshuffle perfumed where;institute decision-making next;Oshkosh;hm frost unless
6;over;who warble;Alisonfurt;maple
7;whereas whose;repulsive;Swaniawskiport;about operate sharp
8;enormously ah;provided;Lockmanport;off bounce
9;incredible conservative;reluctantly cluck;East Florine;gah before
10;swaddle;brr quietly loving;Ardenberg;honorable
