id;price;name;quantity;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;4605.06;damp;8648;even inside trivialise;2023-12-27T09:31:32;2023-12-26T15:43:52;er demand;delightfully
2;8771.18;whoa chair furthermore;14913;trained;2023-12-27T14:26:40;2023-12-27T09:26:12;charm;painfully nor overstay
3;28883.57;poised emote;7419;boastfully subsection;2023-12-27T00:44:38;2023-12-26T19:04:00;engine urgently;a opposite an
4;188.28;gosh boohoo whose;8057;shabby before which;2023-12-26T15:44:20;2023-12-27T11:28:59;ha powerfully;of
5;10223.55;fishing potential;17993;regularly;2023-12-27T09:33:06;2023-12-27T12:47:50;boohoo beautifully;who who
6;10639.16;drop;32010;fooey;2023-12-27T00:43:48;2023-12-27T09:56:55;gosh socialize;transaction midst for
7;1884.71;nor welcome terribly;32734;boo pro meditate;2023-12-26T23:56:49;2023-12-27T03:31:28;slim;as
8;16818.24;obediently who;2559;talking cc;2023-12-27T14:17:45;2023-12-27T10:34:17;skedaddle;overrate cake around
9;5203.85;salvage;8696;midst phooey;2023-12-27T10:46:51;2023-12-27T14:21:55;second discrete eek;gravel
10;30871.53;amid caramelise;7455;monstrous than;2023-12-27T11:55:08;2023-12-27T06:37:09;which candidate;whenever
